Month,Year,Advisors,Hire decision,Hire arrival,Assessments demand,Assessments accepted,Assessments lost,Sprint starts,Retainer starts,Renewal starts,Retainers active,Board readouts,FC add-on customers,Advisor capacity hrs,Bench hrs,Project pool hrs,Project delivered hrs,Backlog hrs,Backlog weeks,Utilization,Revenue: Readiness Assessment,Revenue: Prioritization & Attack Narrative Sprint,Revenue: Remediation Program Retainer,Revenue: Board Readout & Insurance Attestation,Revenue: Falcon Complete Continuous-Remediation Add-on,Gross revenue,Flex program margin,Net revenue,Advisor labor,Bench cost,Add-on delivery cost,Direct cost,Gross margin,Gross margin %,Sales/SE overhead,Travel,Contribution margin,Practice lead,Marketing,Training,Tooling,Insurance/legal,Fixed opex,EBITDA,Collections,Cash out,Net cash,Cumulative cash,Revenue left on table
11,1,2,0,0,3,0,3,0,1.0725,0,2.5025,0.7800,10.5000,219.3333,240,1708.3569,396.3333,1312.0236,25.9214,0.7000,29840.6781,50544.6750,42827.4929,5775.3524,99750,228738.1984,13724.2919,215013.9065,44166.6667,39600,34912.5000,118679.1667,96334.7398,0.4480,25801.6688,12900.8344,57632.2366,5833.3333,5000,3000,3000,3750,20583.3333,37048.9033,199174.6754,177965.0032,21209.6722,-256296.4009,1600778.7349
12,1,2,0,0,3,0,3,0,0,0,2.5025,0,12,219.3333,240,1574.6610,387.3333,1187.3276,23.4578,0.7000,24298.9520,41158.0000,55833.8702,4702.8091,114000,239993.6313,14399.6179,225594.0134,44166.6667,39600,39900,123666.6667,101927.3467,0.4518,27071.2816,13535.6408,61320.4243,5833.3333,5000,3000,3000,3750,20583.3333,40737.0910,209738.5627,184856.9224,24881.6403,-231414.7606,1600778.7349
13,2,2,0,0,3.7500,0,3.7500,0,0,0,2.5025,0,13.5000,235,240,1449.9650,394,1055.9650,19.4717,0.7500,21049.6696,35654.3074,72448.0791,4073.9443,133380,266606.0004,15996.3600,250609.6404,44166.6667,39600,46683,130449.6667,120159.9737,0.4795,30073.1568,15036.5784,75050.2385,5833.3333,7500,3000,3000,3750,23083.3333,51966.9051,220303.9599,198642.7353,21661.2247,-209753.5359,2000973.4186
14,2,2,0,0,3.7500,0,3.7500,0,0,0,2.5025,0,15,235,240,1318.6024,385,933.6024,17.2154,0.7500,16471.9669,27900.5126,82567.1558,3187.9776,148200,278327.6130,16699.6568,261627.9562,44166.6667,39600,51870,135636.6667,125991.2895,0.4816,31395.3547,15697.6774,78898.2574,5833.3333,7500,3000,3000,3750,23083.3333,55814.9241,238101.8269,205813.0321,32288.7948,-177464.7411,2000973.4186
15,2,2,0,0,3.7500,0,3.7500,0,0,0,2.5025,0,16.5000,235,240,1196.2398,376,820.2398,15.1250,0.7500,12554.9878,21265.8632,90787.3823,2429.8871,163020,290058.1205,17403.4872,272654.6332,44166.6667,39600,57057,140823.6667,131830.9666,0.4835,32718.5560,16359.2780,82753.1326,5833.3333,7500,3000,3000,3750,23083.3333,59669.7993,256118.7983,212984.8340,43133.9643,-134330.7768,2000973.4186
16,2,2,1,0,3.7500,0,3.7500,0,0,0.2860,2.4310,0.1144,18,235,240,1083.8388,367,716.8388,13.2183,0.7500,9274.0756,15708.5954,96212.3951,2761.7794,177840,301796.8455,18107.8107,283689.0348,44166.6667,39600,62244.0000,146010.6667,137678.3681,0.4853,34042.6842,17021.3421,86614.3419,5833.3333,7500,3000,3000,3750,23083.3333,63531.0085,267141.2947,220158.0263,46983.2684,-87347.5084,2000973.4186
17,2,2,0,0,3.7500,0,3.7500,0,0,0.2860,2.3595,0.1144,19.5000,235,240,972.9339,358,614.9339,11.3392,0.7500,6665.3929,11289.9618,99893.7284,3035.6046,192660,313544.6876,18812.6813,294732.0064,44166.6667,39600,67431,151197.6667,143534.3397,0.4870,35367.8408,17683.9204,90482.5786,5833.3333,7500,3000,3000,3750,23083.3333,67399.2452,278171.8340,227332.7611,50839.0729,-36508.4355,2000973.4186
18,2,3,0,1,3.7500,3.7500,0,0,0,0,2.3595,0,21,313.3333,240,1837.5635,427.3333,1410.2301,19.5032,0.6667,79754.2965,4509.8524,59334.2194,1212.5930,207480,352290.9612,21137.4577,331153.5035,62083.3333,39600,72618,174301.3333,156852.1702,0.4737,39738.4204,19869.2102,97244.5395,5833.3333,7500,4500,3000,3750,24583.3333,72661.2062,289210.5206,258492.2973,30718.2233,-5790.2122,0
19,2,3,0,0,3.7500,0,3.7500,2.4375,0,0,2.3595,0,22.5000,313.3333,240,2356.6096,418.3333,1938.2763,26.8059,0.6667,46720.9994,44641.9504,49590.8687,710.3512,222300,363964.1697,21837.8502,342126.3195,62083.3333,39600,77805,179488.3333,162637.9862,0.4754,41055.1583,20527.5792,101055.2486,5833.3333,7500,4500,3000,3750,24583.3333,76471.9153,312942.7549,265654.4042,47288.3508,41498.1385,2000973.4186
20,2,3,0,0,3.7500,0,3.7500,0,0,0.5720,2.2165,0.2288,24,352.5000,240,2537.2042,448.5000,2088.7042,25.6767,0.7500,38265.9385,57474.9505,54491.2016,1591.3025,237120,388943.3931,23336.6036,365606.7895,62083.3333,39600,82992,184675.3333,180931.4561,0.4949,43872.8147,21936.4074,115122.2340,5833.3333,7500,4500,3000,3750,24583.3333,90538.9007,336639.9115,275067.8888,61572.0227,103070.1613,2000973.4186
